fr,en

donner,give
recevoir,receive
à propos,about
l'équipe,team
fichiers,files
afficher,display
makers,makers
médicaux,medicals
personnel médical,medical staff
nombres,numbers
besoin,need
jour,day
masque en tissu,cloth mask
masque de chirurgie,chirurgical mask
masque de chantier,construction mask
lunettes,glasses
blouse,blouse
visière,visor
nom,name
code postale,zip code
email,email
les makers,the makers
Fermer,Close
suivant,next
retour,return
valider,submit
inscription,sign up
connexion,sign in
connecté,log on
pays,country
ville,city
