fr,en

donner,give
recevoir,receive
à propos,about
l'équipe,team
fichiers,files
afficher,display
makers,makers
médicaux,medicals
personnel médical,medical staff
nombres,numbers
besoin,need
production,production
jour,day
masque en tissu,cloth mask
masque de chirurgie,chirurgical mask
masque de chantier,construction mask
lunettes,glasses
blouse,blouse
visière,visor
nom,name
code postal,zip code
email,email
mot de passe,password
les makers,the makers
Fermer,Close
suivant,next
retour,return
valider,submit
inscription,sign up
connexion,sign in
connecté,log on
pays,country
ville,city
contact,contact
annuler,cancel
mon compte,my account
déconnexion,disconnect
modifier,edit


LPC est une plateforme d'échange créée en réponse à la crise du COVID-19 qui fait le lien entre <span class="green">les besoins de matériel du personnel médical</span> et <span class="blue">les ressources disponibles des makers les plus proches.</span>,LPC is an exchange platform create to respond the crisis of COVID-19 allowing to link <span class="green">material needs of the medical personnel</span> and <span class="blue">the available ressources of the nearest makers.</span>

En cochant cette case j'accepte et je reconnais avoir pris connaissance des termes et conditions d'utilisations de la platforme.,By checking this case you agree with our terms and conditions.

Informations de contact,Contact informations
numéro de téléphone,phone number
erreur,error
désolé,sorry
la page que vous recherchait ne peut être chargée,the page you are looking for can't be load
Retour à l'accueil,Back to Home


Vous vous êtes déconnecté avec succés.,You have sussessfully logged out.
Votre session à expirée. Veuillez vous reconnecter.,Your session has expired. Please reconnect.
Vous devez vous connecter à un compte avant de continuer.,You must be log in before continuing.
Une erreur s'est produite lors de la validation, An error has occur during the validation
Formulaire valider !,Form validate !
Aucun compte n'est associé aux informations saisies,No such account is associate with the information entered
Erreur lors de la connexion,Connection error
Non disponible pour le moment,Not available at the moment
Erreur inattendue lors de la requête vers le serveur,Unexpected error during the request to the server
Veuillez accepter les conditions générales d'utilisation,Please accept our general terms and conditions of us
